@relation gendata-v2-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute a0 numeric
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute class {c0,c1}

@data
0.874422,1,0.926474,0.547229,c0
0.036468,0.201279,0.178843,0.023172,c1
0.413964,0.265622,0.989349,0.935626,c0
0.122043,0.517519,0.888438,0.937419,c1
0.082226,0.551834,0.937649,0.779427,c1
0.094456,0.139708,0.364295,0.472725,c0
0.902716,0.860961,0.595274,0.085138,c0
0.704367,0.057556,0.077841,0.289605,c0
0.303225,0.460913,0.782059,0.5928,c0
0.372806,0.758608,0.549099,0.285203,c0
0.108549,0.933747,0.066017,0.482606,c1
0.883278,0.703356,0.560985,0.245313,c0
0.383579,0.252309,0.923402,0.783275,c0
0.113983,0.817512,0.485613,0.813543,c1
0.073629,0.884364,0.232317,0.785248,c1
0.884205,0.876656,0.823765,0.296361,c0
0.632442,0.80722,0.467135,0.202582,c0
0.221865,0.090806,0.350123,0.149792,c0
0.075949,0.005196,0.971028,0.960099,c0
0.629621,0.350981,0.513914,0.09302,c0
0.159179,0.898918,0.156657,0.728757,c0
0.154513,0.782053,0.926556,0.215971,c0
0.610862,0.539167,0.613941,0.725667,c0
0.337871,0.692456,0.10944,0.5712,c0
0.622431,0.844189,0.326432,0.309277,c0
0.353551,0.068544,0.878766,0.043672,c0
0.030865,0.980494,0.595607,0.383769,c0
0.907087,0.103419,0.935799,0.562212,c0
0.886942,0.683442,0.332375,0.702453,c0
0.707665,0.460141,0.641115,0.863291,c0
0.347932,0.266957,0.794804,0.524953,c0
0.583286,0.290385,0.014611,0.43964,c0
0.09276,0.441563,0.964186,0.277221,c1
0.551647,0.211931,0.388245,0.396214,c0
0.692757,0.276893,0.114991,0.105156,c0
0.415943,0.68618,0.308026,0.244075,c0
0.63456,0.959127,0.309932,0.506463,c0
0.701149,0.544224,0.610633,0.966123,c0
0.936839,0.085751,0.799055,0.42912,c0
0.996418,0.668649,0.747739,0.825987,c0
0.54835,0.762679,0.627591,0.53295,c0
0.021142,0.971941,0.78186,0.784812,c0
0.973571,0.610708,0.929891,0.471861,c0
0.982011,0.209937,0.656508,0.471188,c0
0.81225,0.553988,0.643838,0.405094,c0
0.031651,0.364938,0.631642,0.06185,c1
0.159524,0.007911,0.696549,0.116381,c0
0.906568,0.466778,0.004365,0.572893,c0
0.054106,0.717542,0.866037,0.423265,c1
0.046158,0.214952,0.513717,0.336187,c1
0.416864,0.464713,0.858716,0.757876,c0
0.774604,0.78746,0.013546,0.757923,c0
0.172154,0.405324,0.340237,0.113248,c0
0.347269,0.543196,0.366989,0.546254,c0
0.493587,0.709812,0.932983,0.762559,c0
0.941447,0.694536,0.601248,0.045275,c0
0.362763,0.716254,0.403616,0.34344,c0
0.896366,0.028474,0.780885,0.388371,c0
0.886723,0.925337,0.611857,0.349856,c0
0.777958,0.298098,0.177361,0.520475,c0
0.060701,0.390387,0.886058,0.045487,c0
0.078429,0.859278,0.647748,0.413675,c1
0.923624,0.425447,0.904549,0.324496,c0
0.621268,0.65006,0.305021,0.966448,c0
0.289125,0.632506,0.296795,0.097639,c0
0.983985,0.688337,0.931928,0.370668,c0
0.504647,0.688257,0.485488,0.184555,c0
0.509832,0.515129,0.678643,0.043339,c0
0.918658,0.436587,0.497696,0.806784,c0
0.721766,0.38755,0.010278,0.314731,c0
0.005498,0.14734,0.792762,0.126796,c1
0.203966,0.131395,0.971018,0.477015,c0
0.337254,0.0327,0.314738,0.524763,c0
0.27191,0.919264,0.144992,0.968009,c0
0.839915,0.378228,0.315517,0.4185,c0
0.992019,0.380662,0.019768,0.692222,c0
0.031513,0.876474,0.657989,0.924998,c1
0.370652,0.903751,0.512202,0.817807,c0
0.180959,0.016693,0.640675,0.647608,c0
0.779935,0.892835,0.879748,0.51604,c0
0.575891,0.67069,0.586042,0.351761,c0
0.931108,0.421097,0.359796,0.503291,c0
0.346334,0.072043,0.685461,0.358328,c0
0.96907,0.608672,0.174166,0.354452,c0
0.53283,0.033628,0.866451,0.862959,c0
0.499204,0.474572,0.75852,0.926474,c0
0.339156,0.99998,0.683014,0.569803,c0
0.61581,0.297424,0.364783,0.372823,c0
0.764469,0.17176,0.486868,0.331318,c0
0.245983,0.632845,0.432263,0.613576,c0
0.052216,0.094055,0.372573,0.651782,c1
0.378942,0.484216,0.302091,0.182702,c0
0.652385,0.115846,0.662185,0.248574,c0
0.993203,0.389249,0.212902,0.867055,c0
0.631387,0.775617,0.923964,0.102322,c0
0.750651,0.325385,0.669548,0.541999,c0
0.729177,0.065569,0.789244,0.597544,c0
0.774268,0.713766,0.571198,0.120582,c0
0.498045,0.049548,0.063545,0.7062,c0
0.072645,0.956054,0.748434,0.537772,c1
0.218861,0.269778,0.894441,0.379798,c0
0.432395,0.259562,0.750373,0.103673,c0
0.534061,0.948773,0.965731,0.533725,c0
0.839588,0.723156,0.04551,0.801382,c0
0.989114,0.980548,0.041382,0.282322,c0
0.751736,0.824772,0.003867,0.204512,c0
0.924745,0.123739,0.302194,0.377144,c0
0.783704,0.932382,0.269426,0.196752,c0
0.410755,0.963691,0.228328,0.952369,c0
0.623911,0.420176,0.43578,0.628197,c0
0.162526,0.420661,0.087898,0.017973,c0
0.248822,0.459718,0.132418,0.550483,c0
0.631698,0.10391,0.226917,0.397081,c0
0.75117,0.626879,0.911111,0.786395,c0
0.71253,0.618621,0.691086,0.903478,c0
0.347144,0.87693,0.532016,0.836107,c0
0.756569,0.566412,0.929444,0.052933,c0
0.382859,0.552939,0.593675,0.453944,c0
0.834685,0.085989,0.58693,0.663546,c0
0.400984,0.441618,0.5518,0.404942,c0
0.439473,0.97676,0.637414,0.937283,c0
0.588782,0.045253,0.575727,0.17584,c0
0.069563,0.7346,0.347055,0.06518,c1
0.170929,0.61512,0.832766,0.713761,c0
0.386114,0.233577,0.855521,0.431807,c0
0.565871,0.576813,0.08834,0.422212,c0
0.88338,0.733511,0.332076,0.802623,c0
0.368693,0.438043,0.773135,0.023188,c0
0.265384,0.381181,0.02066,0.247603,c0
0.481742,0.285014,0.83478,0.998418,c0
0.970684,0.624698,0.613758,0.653983,c0
0.954556,0.412791,0.089399,0.659293,c0
0.532141,0.990038,0.745737,0.955815,c0
0.352355,0.782591,0.888984,0.207857,c0
0.721197,0.191378,0.618947,0.573083,c0
0.720292,0.285419,0.224546,0.203248,c0
0.659193,0.652707,0.986003,0.666726,c0
0.455245,0.064034,0.729546,0.298374,c0
0.344087,0.679666,0,0.105107,c0
0.658249,0.292781,0.086278,0.267881,c0
0.280209,0.057072,0.726438,0.369198,c0
0.777647,0.205462,0.845072,0.604476,c0
0.153233,0.793682,0.230108,0.718519,c0
0.613819,0.336803,0.660536,0.207035,c0
0.742889,0.091713,0.616688,0.356953,c0
0.999918,0.153047,0.440629,0.99209,c0
0.512549,0.057883,0.403235,0.47501,c0
0.724324,0.610172,0.945639,0.373893,c0
0.570702,0.521614,0.077002,0.300967,c0
0.514131,0.284038,0.756223,0.03235,c0
0.941252,0.987595,0.780839,0.634671,c0
0.142344,0.149116,0.755482,0.359525,c0
0.33723,0.744635,0.392388,0.45612,c0
0.978488,0.111922,0.458226,0.463679,c0
0.879715,0.501718,0.5432,0.584977,c0
0.545458,0.865407,0.862107,0.751949,c0
0.448829,0.111372,0.255873,0.485516,c0
0.904791,0.715552,0.658474,0.340238,c0
0.61553,0.282556,0.278162,0.686028,c0
0.928854,0.442945,0.979188,0.880159,c0
0.337808,0.325784,0.312489,0.423796,c0
0.783846,0.312409,0.000048,0.511338,c0
0.869355,0.336167,0.680724,0.472792,c0
0.185134,0.783009,0.100521,0.078661,c0
0.566519,0.360587,0.152366,0.262862,c0
0.243927,0.597522,0.373855,0.801452,c0
0.540456,0.423398,0.974421,0.754642,c0
0.969622,0.279367,0.698199,0.96543,c0
0.340415,0.502032,0.292041,0.671862,c0
0.74585,0.184829,0.695652,0.464281,c0
0.11388,0.802594,0.565434,0.067148,c1
0.347351,0.635107,0.228885,0.16451,c0
0.932802,0.923347,0.617388,0.330082,c0
0.311107,0.8281,0.310729,0.399061,c0
0.226512,0.773538,0.418493,0.044872,c0
0.730538,0.530167,0.543537,0.132128,c0
0.517502,0.325047,0.80537,0.422569,c0
0.788461,0.744293,0.490298,0.598267,c0
0.893468,0.560835,0.643622,0.122719,c0
0.595898,0.809745,0.592735,0.389506,c0
0.914792,0.180312,0.216805,0.72495,c0
0.151753,0.716478,0.508665,0.362274,c1
0.894682,0.998532,0.814055,0.153536,c0
0.491139,0.551187,0.013572,0.816526,c0
0.743933,0.99167,0.771079,0.841487,c0
0.336952,0.32003,0.840222,0.778617,c0
0.822614,0.512511,0.507509,0.392204,c0
0.824451,0.623983,0.055915,0.427959,c0
0.488986,0.124957,0.263727,0.065526,c0
0.110431,0.886709,0.937228,0.925552,c1
0.288574,0.980521,0.572359,0.353313,c0
0.939487,0.142127,0.343328,0.172592,c0
0.973052,0.786566,0.703482,0.383703,c0
0.475691,0.605911,0.114922,0.359149,c0
0.790697,0.820513,0.604678,0.059028,c0
0.976237,0.409578,0.99839,0.210213,c0
0.742378,0.425149,0.07031,0.064612,c0
0.112624,0.391583,0.039285,0.348409,c0
0.740008,0.984417,0.159556,0.160535,c0
0.016072,0.75115,0.602665,0.206723,c1
0.862572,0.346076,0.09604,0.438629,c0
0.354433,0.879364,0.290882,0.341776,c0
0.149186,0.194101,0.185781,0.430721,c0
0.013483,0.829553,0.524192,0.135565,c1
0.62258,0.792025,0.475355,0.247998,c0
0.1971,0.119927,0.546985,0.214826,c0
0.480212,0.061933,0.169798,0.144658,c0
0.0104,0.889537,0.064011,0.078324,c1
0.650773,0.118237,0.071233,0.17383,c0
0.846503,0.527585,0.855411,0.763601,c0
0.151028,0.460481,0.518655,0.85028,c1
0.138256,0.432619,0.979559,0.531626,c1
0.939847,0.579774,0.600795,0.961818,c0
0.29808,0.413952,0.501621,0.936445,c0
0.205027,0.749026,0.652233,0.979457,c0
0.903967,0.860595,0.82088,0.708479,c0
0.282252,0.08842,0.262433,0.672715,c0
0.454945,0.818547,0.986297,0.344662,c0
0.638246,0.311718,0.328208,0.887184,c0
0.260472,0.507953,0.659317,0.360132,c0
0.617071,0.651038,0.877736,0.602639,c0
0.277475,0.95224,0.574298,0.521175,c0
0.887803,0.924777,0.688799,0.735915,c0
0.96515,0.691689,0.625897,0.597121,c0
0.784263,0.76367,0.962206,0.280738,c0
0.471109,0.882064,0.979103,0.405838,c0
0.98067,0.379768,0.515236,0.770087,c0
0.718859,0.122251,0.814069,0.192897,c0
0.191678,0.459328,0.304504,0.131932,c0
0.207183,0.884455,0.602996,0.626169,c0
0.84211,0.019254,0.229037,0.464225,c0
0.594938,0.331883,0.023382,0.934062,c0
0.891804,0.380978,0.505758,0.250205,c0
0.380667,0.991216,0.915871,1,c0
0.264458,0.507705,0.097867,0.061238,c0
0.249895,0.471034,0.870657,0.415251,c0
0.566278,0.41791,0.977375,0.808533,c0
0.901462,0.224754,0.392907,0.805088,c0
0.036343,0.438376,0.169448,0.984308,c1
0.421161,0.101339,0.704574,0.913805,c0
0.924612,0.422876,0.930177,0.588843,c0
0.521541,0.053834,0.587729,0.308584,c0
0.731475,0.293511,0.428814,0.601031,c0
0.208637,0.419174,0.925277,0.685401,c0
0.008844,0.492624,0.834555,0.162815,c1
0.698301,0.489971,0.767572,0.03975,c0
0.657348,0.17801,0.677362,0.932265,c0
0.643041,0.385489,0.101133,0.334717,c0
0.912651,0.308345,0.843804,0.178522,c0
0.990839,0.404344,0.671417,0.317791,c0
0.465856,0.892539,0.635254,0.661087,c0
0.037259,0.348727,0.474881,0.649726,c1
0.405346,0.053411,0.694723,0.278927,c0
0.49298,0.554814,0.858279,0.53243,c0
0.922274,0.79398,0.76873,0.081708,c0
0.625814,0.574014,0.273192,0.439915,c0
0.972183,0.39104,0.583916,0.1594,c0
0.80186,0.763995,0.144071,0.689069,c0
0.334296,0.023112,0.331397,0.400656,c0
0.985757,0.216824,0.408735,0.909246,c0
0.759008,0.998398,0.511962,0.252373,c0
0.01931,0.814376,0.659882,0.697209,c1
0.143381,0.519638,0.142941,0.906798,c1
0.745942,0.265429,0.998168,0.990367,c0
0.931647,0.174522,0.603297,0.532037,c0
0.291956,0.529231,0.970693,0.918725,c0
0.173533,0.31414,0.575557,0.541035,c0
0.08009,0.886139,0.235123,0.218316,c1
0.942272,0.053314,0.897094,0.955659,c0
0.382534,0.54974,0.828018,0.459393,c0
0.041859,0.725458,0.265297,0.349067,c1
0.48534,0.723433,0.132244,0.603401,c0
0.207606,0.806995,0.107591,0.024944,c0
0.779668,0.284008,0.001742,0.739233,c0
0.229195,0.786391,0.062397,0.286417,c0
0.344593,0.672359,0.574475,0.972446,c0
0.69752,0.454626,0.87731,0.007724,c0
0.8407,0.580072,0.720862,0.77767,c0
0.310141,0.547017,0.684642,0.92549,c0
0.776712,0.543294,0.241383,0.356634,c0
0.931542,0.779179,0.959073,0.232274,c0
0.470875,0.549974,0.180927,0.771722,c0
0.844205,0.668863,0.594077,0.519633,c0
0.268934,0.198969,0.887635,0.880907,c0
0.888371,0.724646,0.92219,0.056185,c0
0.837425,0.124763,0.704154,0.403233,c0
0.425853,0.82723,0.617394,0.988192,c0
0.597393,0.632497,0.436233,0.609875,c0
0.32383,0.936419,0.796807,0.960017,c0
0.617639,0.788357,0.938103,0.415432,c0
0.396704,0.446044,0.764668,0.215898,c0
0.529609,0.455136,0.464292,0.966401,c0
1,0.816456,0.201774,0.230165,c0
0.284198,0.965924,0.694517,0.928014,c0
0.715575,0.254754,0.782371,0.306448,c0
0.815078,0.380619,0.495329,0.087726,c0
0.322244,0.680021,0.451352,0.847102,c0
0.924229,0.667514,0.870492,0.007325,c0
0.4899,0.136076,0.929754,0.140922,c0
0.958873,0.098396,0.665324,0.754274,c0
0.890582,0.455007,0.114144,0.905949,c0
0.092741,0.786229,0.959799,0.027216,c1
0.667872,0.816634,0.470756,0.876173,c0
0.281523,0.122598,0.223445,0.237044,c0
0.456063,0.461998,0.575877,0.247156,c0
0.204511,0.575239,0.674663,0.218642,c0
0.389078,0.841487,0.401779,0.771765,c0
0.76452,0.057694,0.394031,0.746102,c0
0.792266,0.750789,0.038797,0.685892,c0
0.956922,0.855724,0.160824,0.024135,c0
0.497176,0.412398,0.88561,0.947396,c0
0.17842,0.832925,0.063858,0.792941,c0
0.972866,0.503772,0.534281,0.34249,c0
0.290211,0.368943,0.310551,0.697921,c0
0.71105,0.50999,0.914958,0.468873,c0
0,0.332595,0.846295,0.120753,c1
0.56195,0.023557,0.362679,0.661698,c0
0.384194,0.880075,0.665806,0.630321,c0
0.957225,0.824072,0.707151,0.355084,c0
0.611219,0.043767,0.958252,0.619664,c0
0.21382,0.773561,0.549504,0.499781,c0
0.186602,0.391442,0.428751,0.974674,c0
0.361821,0.016478,0.309688,0.932492,c0
0.284332,0.065069,0.480249,0.715089,c0
0.182394,0.954213,0.741363,0.890959,c0
0.980008,0.14224,0.071775,0.979592,c0
0.403756,0.833746,0.936953,0.072698,c0
0.453819,0.098192,0.444921,0.812143,c0
0.241138,0.208544,0.090089,0.900655,c0
0.480887,0.724601,0.036103,0.609506,c0
0.726175,0.434235,0.511522,0.853373,c0
0.770775,0.883845,0.268001,0.203696,c0
0.513394,0.870324,0.617266,0.139104,c0
0.977539,0.909757,0.029934,0.908483,c0
0.109388,0.669275,0.964788,0.007451,c1
0.444113,0.543989,0.042125,0.010794,c0
0.712443,0.216563,0.520051,0.399734,c0
