@relation 'kyoto-train-90-10'

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute Label {N,A}

@data
0.019581,0.020444,0.015862,0.011905,1,0,0,0.03,0.03,0,0,0,N
0.000017,0.019111,0.034138,0.035714,1,0,0,0.07,0.08,0,0,0,N
0.000015,0.02,0.068621,0.059524,1,0,0,0.08,0.43,0,0,0,N
0.074078,0.224444,0.53931,0.011905,1,0,0,0.99,0.99,0,0,0,N
0.000015,0.02,0.027586,0.190476,1,0,0,0.81,0.96,0,0,0,N
0.14787,0.231111,0.53931,0,0,0,0,0.22,0.22,0,0,0,N
0.00002,0.02,0.034828,0.047619,1,0,0,0.98,0.98,0,0,0,N
0.000563,0.021333,0.016552,0,0,0,0.67,0.16,0.16,1,0.06,0.06,N
0.000053,0.020444,0.03,0.107143,1,0,0,1,1,0,0,0,N
0.000013,0.020444,0.03,0.071429,1,0,0,0.96,0.96,0,0,0,N
0.019368,0.020444,0.015862,0.011905,1,0,0,0.09,0.09,0,0,0,N
0,0,0,0,0,0,0.75,0,0,0,0,0,N
0.000047,0.017333,0.028621,0.202381,1,0,0,0.75,0.92,0,0,0,N
0.000018,0.025333,0.034138,0.357143,1,0,0,0.11,1,0,0,0,N
0,0,0,0,0,0,0.13,0,0,0,0,0,N
0,0,0,0,0,0,1,0,0,0,0,0,N
0.000014,0.02,0.021034,0.083333,1,0,0,0.93,0.93,0,0,0,N
0.000015,0.016,0.017931,0.071429,1,0,0,0.58,1,0,0,0,N
0.042112,0.224444,0.53931,0.02381,1,0,0,0.49,0.48,0,0,0,N
0.000013,0.02,0.033793,0.035714,1,0,0,0.12,0.73,0,0,0,N
0.134993,0.231111,0.53931,0,0,0,0,0.19,0.19,0,0,0,N
0.000028,0.02,0.03,0,0,0,0,0,0,0,0,0,N
0.000201,0.020444,0.03,0.095238,1,0,0,0.98,0.98,0,0,0,N
0.000268,0.02,0.075517,0,0,0,1,0,0.08,0,0,0,N
0.187315,0.231111,0.53931,0,0,0,0,0.18,0.18,0,0,0,N
0.130485,0.231111,0.53931,0,0,0,0,0.19,0.19,0,0,0,N
0.000016,0.019556,0.026207,0.083333,1,0,0,0.51,0.99,0,0,0,N
0,0,0,0,0,0,0.33,0,0,0,0,0,N
0,0,0,0.011905,1,1,0.75,0.01,0.01,1,1,1,N
0.000015,0.020444,0.03,0.071429,1,0,0,0.97,0.97,0,0,0,N
0.000019,0.028444,0.036552,0.107143,1,0,0,0.99,0.99,0,0,0,N
0.022438,0.224444,0.53931,0.047619,1,0,0,1,0.97,0,0,0,N
0.000013,0.02,0.021034,0.083333,1,0,0,0.98,0.98,0,0,0,N
0.008284,0.018667,0.014483,0.011905,1,0,0,0.09,0.09,0,0,0,N
0.000035,0.02,0.035172,0.107143,1,0,0,1,1,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,N
0.000013,0.019111,0.031379,0.071429,1,0,0,0.92,0.99,0,0,0,N
0.000038,0.020444,0.084483,0.02381,1,0,0,0.04,0.17,0,0,0,N
0.033543,0.224444,0.53931,0.035714,1,0,0,1,0.99,0,0,0,N
0.000015,0.019556,0.036207,0.059524,1,0,0,0.98,0.98,0,0,0,N
0.092222,0.231111,0.53931,0.011905,1,0,0,0.17,0.19,0,0,0,N
0.000015,0.02,0.034138,0.166667,1,0,0,0.13,1,0,0,0,N
0,0,0,0,0,0,0.71,0,0.01,0,0,1,N
0.000015,0.02,0.033793,0.02381,1,0,0,0.94,0.94,0,0,0,N
0.000015,0.024444,0.033448,0.035714,1,0,0,0.51,0.98,0,0,0,N
0.000014,0.02,0.027586,0.130952,1,0,0,0.77,0.93,0.01,0,0,N
0.000012,0.02,0.021034,0.059524,1,0,0,0.97,0.97,0,0,0,N
0.032692,0.276,0.562759,0.035714,1,0,0,0.18,0.17,0,0,0,N
0.000014,0.016,0.03,0.083333,1,0,0,0.52,0.98,0,0,0,N
0,0,0,0,0,0,0,0.02,0.02,1,1,1,N
0,0,0,0.035714,1,1,0.7,0,0,0,0,0,N
0.000014,0.02,0.03,0.059524,1,0,0,0,0.11,0,0,0,N
0.000014,0.021778,0.022414,0.27381,1,0,0,0.25,1,0,0,0,N
0.033016,0.276,0.562759,0.02381,1,0,0,0.17,0.17,0,0,0,N
0.000014,0.028444,0.036552,0.095238,1,0,0,0.85,0.89,0,0,0,N
0.019628,0.020444,0.015862,0,0,0,0,0.06,0.06,0,0,0,N
0.000015,0.019556,0.036207,0.047619,1,0,0,0.95,0.97,0,0,0,N
0,0,0,0,0,0,0.75,0,0,0,0,0,N
0.000014,0.02,0.068621,0.035714,1,0,0,0.02,0.03,0,0,0,N
0.000028,0.02,0.03,0,0,0,0,0,0.26,0,0,0,N
0.122218,0.231111,0.53931,0,0,0,0,0.23,0.23,0,0,0,N
0.000038,0.021778,0.076897,0.02381,1,0,0,0.02,0.05,0,0,0,N
0.074062,0.224444,0.53931,0.011905,0,0,1,0.99,0.01,0,0,0,N
0.000014,0.020444,0.03,0.083333,1,0,0,1,1,0,0,0,N
0.035823,0.276,0.562759,0.035714,1,0,0,0.13,0.13,0,0,0,N
0.000017,0.02,0.031034,0.285714,1,0,0,0.28,1,0,0,0,N
0.000029,0.030222,0.034138,0.011905,1,0,0,0,0.05,0,0,0,N
0.000033,0.02,0.021034,0.107143,1,0,0,1,1,0,0,0,N
0.000013,0.02,0.034138,0.071429,1,0,0,0.4,0.91,0,0,0,N
0.000014,0.028444,0.036552,0.083333,1,0,0,0.98,0.98,0,0,0,N
0.019163,0.020444,0.015862,0,0,0,0,0.12,0.12,0,0,0,N
0.000013,0.02,0.021034,0.059524,1,0,0,0.99,0.99,0,0,0,N
0.00002,0.021333,0.076552,0.02381,1,0,0,0.04,0.28,0,0,0,N
0.000013,0.025778,0.034483,0.02381,1,0,0,0.01,0.04,0,0,0,N
0.000017,0.02,0.021034,0.083333,1,0,0,0.97,0.97,0,0,0,N
0.000014,0.021333,0.076552,0.071429,1,0,0,0.04,0.25,0,0,0,N
0.073923,0.224444,0.53931,0.011905,1,0,0,1,1,0,0,0,N
0,0,0,0.02381,1,1,0.55,0,0,0,0,0,N
0.000013,0.018667,0.035862,0.02381,1,0,0,0.61,0.61,0,0,0,N
0.000012,0.028444,0.036552,0.059524,1,0,0,0.97,0.97,0,0,0,N
0.000012,0.02,0.021034,0.059524,1,0,0,0.99,0.99,0,0,0,N
0,0,0,0,0,0,0,0.01,0.01,0,1,1,N
0.032682,0.276,0.562759,0.02381,1,0,0,0.17,0.18,0,0,0,N
0.000001,0.035111,0.041724,0,0,0,0,0,0.03,0,0,0,N
0.000012,0.02,0.021034,0.059524,1,0,0,0.96,1,0,0,0,N
0.000021,0.02,0.03,0.02381,1,0,0,0.02,0.03,0,0,0,N
0.000013,0.028444,0.036552,0.071429,1,0,0,0.97,0.99,0,0,0,N
0.000019,0.020444,0.035172,0.02381,1,0,0,0.9,0.93,0,0,0,N
0.000013,0.02,0.033793,0.02381,1,0,0,0.95,0.95,0,0,0,N
0.000018,0.025333,0.034138,0.02381,1,0,0,0,0.03,0,0,0,N
0.000014,0.02,0.035172,0.071429,1,0,0,0.96,0.98,0,0,0,N
0.034514,0.276,0.562759,0.02381,1,0,0,0.13,0.13,0,0,0,N
0.000024,0.018222,0.028621,0.02381,1,0,0,0.01,0.08,0,0,0,N
0.02705,0.224444,0.53931,0.047619,1,0,0,1,0.98,0,0,0,N
0.000016,0.02,0.021034,0.083333,1,0,0,1,1,0,0,0,N
0.000013,0.020444,0.046552,0.011905,1,0,0,0.45,0.45,0,0,0,N
0,0,0,0,0,0,0.5,0,0.01,0,0,1,N
0.000018,0.015111,0.035172,0.166667,1,0,0,0.39,0.99,0,0,0,N
0.000015,0.02,0.021034,0.059524,1,0,0,0.92,0.94,0,0,0,N
0,0,0,0,0,0,0.5,0,0,0,0,0,N
0.000015,0.017333,0.018966,0.02381,1,0,0,0.24,0.71,0,0,0,N
0.157293,0.231111,0.53931,0,0,0,0,0.19,0.19,0,0,0,N
0.021489,0.224444,0.53931,0.047619,1,0,0,1,0.97,0,0,0,N
1,0.383556,0.607931,0,0,0,0,0.21,0.2,0,0,0,N
0.000018,0.02,0.068621,0.119048,1,0,0,0.03,0.12,0,0,0,N
0.000014,0.017333,0.028621,0.178571,1,0,0,0.84,0.98,0,0,0,N
0.019353,0.020444,0.015862,0.011905,1,0,0,0.11,0.11,0,0,0,N
0.019328,0.020444,0.015862,0.035714,1,0,0,0.05,0.05,0,0,0,N
0,0,0,0,0,0,1,0,0,0,0,0,N
0,0,0,0,0,0,0,0.05,0.05,1,0,0,N
0.031185,0.231111,0.53931,0.035714,1,0,0,0.14,0.14,0,0,0,N
0.019571,0.020444,0.015862,0.011905,1,0,0,0.07,0.07,0,0,0,N
0.000024,0.037778,0.043793,0.011905,0,0,0,0,0,0,0,0,N
0.123321,0.231111,0.53931,0,0,0,0,0.22,0.22,0,0,0,N
0.011772,0,0,0,0,0,1,0,0,0,0,0,N
0.000012,0.02,0.021034,0.059524,1,0,0.17,0.96,0.96,0,0,0,N
0.027142,1,0.677241,0.011905,0,0,0,0.79,0.77,0,0,0,N
0.000016,0.016,0.03,0.071429,1,0,0.14,0.45,0.78,0,0,0,N
0.003077,0.026222,0.034828,0.047619,1,0,0,0.14,0.38,0,0,0,N
0.00001,0.02,0.033793,0.035714,1,0,0,0.97,0.97,0,0,0,N
0.000013,0.02,0.031034,0.261905,1,0,0,0.27,1,0,0,0,N
0.000024,0.020444,0.03,0.107143,1,0,0.1,0.95,0.97,0,0,0,N
0.073875,0.224444,0.53931,0.011905,1,0,0,1,1,0,0,0,N
0.000022,0.02,0.021034,0.107143,1,0,0,0.96,0.96,0,0,0,N
0.000014,0.028444,0.036552,0.107143,1,0,0,0.9,0.9,0,0,0,N
0.000022,0.019111,0.034483,0.22619,1,0,0,0.18,0.99,0,0,0,N
0.000015,0.02,0.021034,0.095238,1,0,0,0.98,0.98,0,0,0,N
0,0,0,0,0,0,0.67,0,0,0,0,0,N
0.000015,0.019111,0.034483,0.178571,1,0,0,0.2,1,0,0,0,N
0.023854,0.224444,0.53931,0.059524,1,0,0,1,0.98,0,0,0,N
0.000024,0.02,0.035172,0.107143,1,0,0,0.98,0.98,0,0,0,N
0.000017,0.024,0.044828,0.047619,1,0,0,0.14,0.64,0,0,0,N
0.000011,0.021333,0.076552,0.178571,1,0,0,0.03,0.2,0,0,0,N
0.000015,0.016,0.017931,0.047619,1,0,0.2,0.58,1,0,0,0,N
0.032966,0.276,0.562759,0.047619,1,0,0,0.15,0.19,0,0,0,N
0.000022,0.021778,0.067241,0.083333,1,0,0,0.03,0.07,0,0,0,N
0.000018,0.019111,0.034138,0.011905,1,0,0,0.01,0.06,0,0,0,N
0.000026,0.023556,0.032759,0.047619,1,0,0,0.03,0.1,0,0,0,N
0.000014,0.020444,0.03,0.095238,1,0,0,0.97,0.99,0,0,0,N
0,0,0,0,0,0,0.86,0,0.01,0,0,1,N
0.000015,0.028444,0.036552,0.107143,1,0,0,0.97,0.97,0,0,0,N
0.000019,0.019111,0.034483,0.25,1,0,0,0.12,1,0,0,0,N
0.000001,0.036889,0.043103,0,0,0,0,0,0.22,0,0,0,N
0,0,0,0,0,0,0,0.03,0.03,1,0,0,N
0.03186,0.276,0.562759,0.035714,1,0,0,0.18,0.18,0,0,0,N
0.032911,0.283111,0.562759,0.035714,1,0,0,0.18,0.15,0,0,0,N
0.000012,0.02,0.03,0.095238,1,0,0,0.02,0.12,0,0,0,N
0.000013,0.020444,0.03,0.083333,1,0,0,0.99,0.99,0,0,0,N
0.000015,0.020444,0.03,0.071429,1,0,0,0.95,0.95,0,0,0,N
0.000014,0.02,0.033793,0.035714,1,0,0,0.94,0.96,0,0,0,N
0.000028,0.018667,0.064828,0,0,0,0,0,0,0,0,0,N
0.000015,0.02,0.035172,0.119048,1,0,0,0.84,0.9,0,0,0,N
0.112591,0.231111,0.53931,0,0,0,0,0.12,0.12,0,0,0,N
0.000014,0.020444,0.046552,0.02381,1,0,0,0.57,0.57,0,0,0,N
0.00003,0.015111,0.08,0.011905,1,0,0,0,0.44,0,0,0,N
0.000014,0.019556,0.034483,0.035714,1,0,0,0.4,0.59,0,0,0,N
0.000026,0.025333,0.034138,0.011905,1,0,0,0,0.13,0,0,0,N
0,0,0,0,0,0,0.5,0,0.01,0,0,1,N
0.000014,0.019556,0.036207,0.047619,1,0,0,0.96,0.96,0,0,0,N
0.000014,0.016,0.017931,0.047619,1,0,0,0.5,0.86,0,0,0,N
0.022533,0.224444,0.53931,0.059524,1,0,0,1,0.97,0,0,0,N
0.000015,0.02,0.035172,0.107143,1,0,0,0.97,0.97,0,0,0,N
0.000022,0.024889,0.033793,0.035714,1,0,0,0.03,0.03,0,0,0,N
0.000013,0.02,0.033793,0.02381,1,0,0,0.96,0.96,0,0,0,N
0.000637,0.021333,0.016552,0,0,0,1,0.02,0.02,1,0,0,N
0.101611,0.224444,0.53931,0.011905,1,0,0,0.86,0.87,0,0,0,N
0.000015,0.022667,0.032069,0.011905,1,0,0.5,0.01,0.09,0,0,0,N
0.000019,0.02,0.021034,0.095238,1,0,0,0.96,0.98,0,0,0,N
0.361184,0.069333,0,0,0,0,1,0,0,0,0,0,N
0.224006,0.224444,0.53931,0,0,0,0,0.98,0.97,0,0,0,N
0.000021,0.02,0.027586,0.154762,1,0,0,0.81,0.97,0,0,0,N
0.000037,0.021333,0.076552,0.035714,1,0,0,0.08,0.27,0,0,0,N
0.000017,0.02,0.031034,0.345238,1,0,0,0.28,1,0,0,0,N
0.032831,0.224444,0.53931,0.035714,1,0,0,0.98,0.95,0,0,0,N
0.00001,0.025778,0.034483,0,0,0,0,0.02,0.14,0,0,0,N
0.03314,0.224444,0.53931,0.035714,1,0,0,0.97,0.95,0,0,0,N
0.000014,0.020444,0.046552,0.011905,1,0,0,0.51,0.51,0,0,0,N
0.010564,0.019556,0.015172,0.178571,1,0,0,0.15,0.64,0,0,0,N
0.00039,0.018667,0.014483,0.083333,1,0,0.1,0.1,0.79,0,0,0,N
0.000025,0.021333,0.076552,0,0,0,0,0,0.01,0,0,0,N
0.000013,0.016,0.03,0.071429,1,0,0.14,0.56,0.97,0,0,0,N
0.000014,0.025333,0.034138,0.333333,1,0,0.07,0.09,0.99,0,0,0,N
0.019215,0.020444,0.015862,0.011905,1,0,0,0.12,0.46,0,0,0.07,N
0.000014,0.022667,0.077586,0,0,0,0.33,0,0.41,0,0,0,N
0,0,0,0.011905,1,1,0.62,0,0,0,0,0,N
0.032692,0.276,0.562759,0.02381,1,0,0,0.17,0.17,0,0,0,N
0.000012,0.016,0.017931,0.059524,1,0,0,0.55,0.94,0,0,0,N
0.000576,0.021333,0.016552,0,0,0,1,0.02,0.02,1,0,0,N
0.043262,0.224444,0.53931,0.02381,1,0,0,0.99,0.99,0,0,0,N
0,0,0,0,0,0,0.5,0.16,0.16,1,0,0,N
0.022355,0.224444,0.53931,0.071429,0.83,0,0,0.99,0.98,0,0,0,N
0.00003,0.021333,0.055172,0.035714,1,0,0,0.03,0.15,0,0,0,N
0.000017,0.02,0.021034,0.095238,1,0,0,0.99,0.99,0,0,0,N
0.000012,0.02,0.021034,0.071429,1,0,0,0.96,0.96,0,0,0,N
0.032965,0.283111,0.562759,0.02381,1,0,0,0.17,0.15,0,0,0,N
0.000012,0.02,0.021034,0.059524,1,0,0,0.88,0.88,0,0,0,N
0.000013,0.016,0.03,0.059524,1,0,0,0.52,0.99,0,0,0,N
0.061929,0.231111,0.53931,0.011905,1,0,0,0.13,0.13,0,0,0,N
0.000015,0.016,0.03,0.059524,1,0,0,0.58,1,0,0,0,N
0,0,0,0,0,0,0.5,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,N
0.000015,0.020444,0.03,0.071429,1,0,0,0.99,1,0,0,0,N
0.000014,0.02,0.033793,0.02381,1,0,0,0.97,0.97,0,0,0,N
0.00377,0,0,0,0,0,0.82,0,0,0,0,0,N
0.000012,0.019556,0.036207,0.047619,1,0,0,0.92,0.92,0,0,0,N
0.000023,0.026222,0.076552,0.035714,1,0,0,0,0.27,0,0,0,N
0.000013,0.02,0.021034,0.059524,1,0,0,0.97,0.99,0,0,0,N
0.000013,0.02,0.021034,0.083333,1,0,0,0.98,0.98,0,0,0,N
0,0,0,0,0,0,1,0,0,0,0,0,N
0.065194,0.486667,0.583448,0,0,0,0,0.12,0.11,0,0,0,N
0.122635,0.231111,0.53931,0,0,0,0,0.21,0.21,0,0,0,N
0.000023,0.024889,0.033793,0,0,0,0,0,0.02,0,0,0,N
0.000013,0.020444,0.03,0.071429,1,0,0,0.98,0.98,0,0,0,N
0.000016,0.028444,0.036552,0.083333,1,0,0,0.98,0.98,0,0,0,N
0.019433,0.020444,0.015862,0,0,0,0,0.14,0.14,0,0,0,N
0.000012,0.016,0.03,0.047619,1,0,0,0.58,1,0,0,0,N
0.000042,0.02,0.03,0.035714,1,0,0,0.01,0.06,0,0,0,N
0.028268,0.231111,0.53931,0.047619,1,0,0,0.65,0.62,0,0,0,N
0.000015,0.028444,0.036552,0.654762,1,0,0.02,0.09,0.92,0,0,0,N
0.073913,0.224444,0.53931,0.011905,1,0,0,1,1,0,0,0,N
0.000016,0.016,0.03,0.095238,1,0,0,0.54,0.91,0,0,0,N
0.000017,0.019111,0.034483,0.22619,1,0,0,0.16,1,0,0,0,N
0,0,0,0,0,0,1,0.1,0.1,1,0.9,0.9,N
0.000014,0.02,0.021034,0.071429,1,0,0,0.95,0.95,0,0,0,N
0.000015,0.02,0.068621,0.035714,1,0,0,0.01,0.14,0,0,0,N
0.287555,0.013333,0.12,0.011905,1,0,0,0,0.01,0,0,0,N
0.000019,0.019111,0.034138,0.011905,1,0,0,0.01,0.05,0,0,0,N
0.124395,0.231111,0.53931,0,0,0,0,0.18,0.18,0,0,0,N
0.000013,0.024444,0.033448,0.047619,1,0,0,0.58,0.97,0,0,0,N
0.022987,0.224444,0.53931,0.047619,1,0,0,0.72,0.97,0,0,0,N
0.000945,0.020444,0.015862,0,0,0,0,0.2,0.2,0,0,0,N
0.028134,0.231111,0.53931,0.035714,0.67,0,0,0.59,0.57,0,0,0,N
0.000018,0.032444,0.039655,0.071429,1,0,0,0.22,0.93,0,0,0,N
0.000014,0.019556,0.036207,0.035714,1,0,0,0.99,0.99,0,0,0,N
0.032896,0.224444,0.53931,0.035714,1,0,0,0.98,0.97,0,0,0,N
0.000012,0.02,0.021034,0.071429,1,0,0.14,0.97,0.97,0,0,0,N
0.123258,0.231111,0.53931,0,0,0,0,0.22,0.22,0,0,0,N
0.000015,0.032444,0.039655,0.071429,1,0,0,0.06,0.74,0,0,0,N
0.000012,0.018667,0.028966,0.011905,1,0,0,0.04,0.08,0,0,0,N
0.057572,0.231111,0.53931,0.011905,1,0,0,0.12,0.12,0,0,0,N
0.00182,0.021778,0.035172,0.059524,1,0,0,0.06,0.49,0,0,0,N
0.000018,0.028444,0.036552,0.095238,1,0,0,1,1,0,0,0,N
0.000029,0.026222,0.034828,0.107143,1,0,0,0.28,0.47,0,0.18,0.11,N
0.055765,0.561333,0.630345,0,0,0,0,0.12,0.12,0,0,0,N
0.000022,0.022667,0.032069,0,0,0,0,0,0.13,0,0,0,N
0.000013,0.020444,0.03,0.059524,1,0,0.17,0.97,0.97,0,0,0,N
0.000012,0.019556,0.026207,0.095238,1,0,0,0.55,1,0,0,0,N
0.000013,0.019111,0.027241,0.035714,1,0,0,0.42,0.43,0,0,0,N
0.000014,0.02,0.021034,0.107143,1,0,0,0.96,0.96,0,0,0,N
0.000014,0.024444,0.033448,0.059524,1,0,0,0.53,1,0,0,0,N
0.000015,0.018667,0.034828,0.142857,1,0,0,0.16,0.99,0,0,0,N
0.178825,0.231111,0.53931,0,0,0,0,0.18,0.18,0,0,0,N
0.000012,0.020444,0.046552,0.011905,1,0,0,0.57,0.57,0,0,0,N
0.000017,0.019556,0.036207,0.047619,1,0,0,0.95,0.95,0,0,0,N
1,0.224444,0.53931,0.035714,1,0,0,1,0.98,0,0,0,N
0,0,0,0,0,0,0,0.01,0.01,1,1,1,N
0.123085,0.231111,0.53931,0,0,0,0,0.21,0.21,0,0,0,N
0.000022,0.02,0.083793,0.02381,1,0,0.25,0.01,0.12,0,0,0,N
0.000019,0.019111,0.034483,0.27381,1,0,0,0.13,1,0,0,0,N
0.000012,0.018667,0.028966,0,0,0,0,0.03,0.07,0,0,0,N
0.000015,0.019111,0.034828,0.238095,1,0,0.05,0.13,1,0,0,0,N
0.032825,0.276,0.562759,0.035714,1,0,0,0.18,0.18,0,0,0,N
0.000014,0.02,0.033103,0.321429,1,0,0,0.1,0.99,0,0,0,N
0.025952,0.231111,0.53931,0.035714,1,0,0,0.33,0.32,0,0,0,N
0.000014,0.024,0.024138,0.059524,1,0,0,0.6,0.6,0,0,0,N
0.000015,0.016,0.03,0.071429,1,0,0,0.48,0.95,0,0,0,N
0.000013,0.020444,0.03,0.059524,1,0,0,0.97,0.97,0,0,0,N
0.000012,0.02,0.021034,0.071429,1,0,0,0.93,0.93,0,0,0,N
0.000013,0.02,0.035172,0.071429,1,0,0,0.98,0.98,0,0,0,N
0.000013,0.02,0.032759,0.047619,1,0,0,0.22,0.97,0,0,0,N
0.000017,0.020444,0.034828,0.654762,1,0,0,0.1,0.96,0,0,0,N
0.000017,0.020444,0.03,0.107143,1,0,0,0.98,0.98,0,0,0,N
0.000018,0.02,0.083793,0,0,0,0,0,0.05,0,0,0,N
0.000026,0.023111,0.077931,0,0,0,0,0,0,0,0,0,N
0.000013,0.016,0.03,0.059524,1,0,0,0.53,0.99,0,0,0,N
0.000538,0.021333,0.016552,0,0,0,0.83,0,0,0,0,0,N
0.022382,0.224444,0.53931,0.059524,1,0,0,0.6,0.59,0,0,0,N
0.019344,0.020444,0.015862,0.011905,1,0,0,0.13,0.13,0,0,0,N
0.000032,0.020444,0.046552,0.011905,1,0,0.33,0.37,0.37,0,0,0,N
